Point ID,Idp,Mk,Points:0,Points:1,Points:2,Points:Magnitude,Rhop,Type,Vel:0,Vel:1,Vel:2,Vel:Magnitude
212,8058,1,0.03,0.31,0.07,0.319218,1002.13,3,0,0,0,0
213,8059,1,0.03,0.31,0.09,0.324191,1001.95,3,0,0,0,0
214,8060,1,0.03,0.31,0.11,0.330303,1001.78,3,0,0,0,0
215,8061,1,0.03,0.31,0.13,0.337491,1001.6,3,0,0,0,0
216,8062,1,0.03,0.31,0.15,0.345688,1001.42,3,0,0,0,0
217,8063,1,0.03,0.31,0.17,0.354824,1001.25,3,0,0,0,0
218,8064,1,0.03,0.31,0.19,0.364829,1001.07,3,0,0,0,0
219,8065,1,0.03,0.31,0.21,0.375633,1000.89,3,0,0,0,0
220,8066,1,0.03,0.31,0.23,0.387169,1000.71,3,0,0,0,0
221,8067,1,0.03,0.31,0.25,0.399375,1000.53,3,0,0,0,0
222,8068,1,0.03,0.31,0.27,0.412189,1000.36,3,0,0,0,0
223,8069,1,0.03,0.31,0.29,0.425558,1000.18,3,0,0,0,0
224,8070,1,0.03,0.31,0.31,0.439431,1000,3,0,0,0,0
225,8071,1,0.03,0.33,0.03,0.332716,1002.48,3,0,0,0,0
226,8072,1,0.03,0.33,0.05,0.335112,1002.31,3,0,0,0,0
227,8073,1,0.03,0.33,0.07,0.338674,1002.13,3,0,0,0,0
228,8074,1,0.03,0.33,0.09,0.343366,1001.95,3,0,0,0,0
229,8075,1,0.03,0.33,0.11,0.349142,1001.78,3,0,0,0,0
230,8076,1,0.03,0.33,0.13,0.355949,1001.6,3,0,0,0,0
231,8077,1,0.03,0.33,0.15,0.363731,1001.42,3,0,0,0,0
232,8078,1,0.03,0.33,0.17,0.372425,1001.25,3,0,0,0,0
233,8079,1,0.03,0.33,0.19,0.381969,1001.07,3,0,0,0,0
234,8080,1,0.03,0.33,0.21,0.392301,1000.89,3,0,0,0,0
235,8081,1,0.03,0.33,0.23,0.403361,1000.71,3,0,0,0,0
236,8082,1,0.03,0.33,0.25,0.41509,1000.53,3,0,0,0,0
237,8083,1,0.03,0.33,0.27,0.427434,1000.36,3,0,0,0,0
238,8084,1,0.03,0.33,0.29,0.440341,1000.18,3,0,0,0,0
239,8085,1,0.03,0.33,0.31,0.453762,1000,3,0,0,0,0
240,8086,1,0.03,0.35,0.03,0.352562,1002.48,3,0,0,0,0
241,8087,1,0.03,0.35,0.05,0.354824,1002.31,3,0,0,0,0
242,8088,1,0.03,0.35,0.07,0.35819,1002.13,3,0,0,0,0
243,8089,1,0.03,0.35,0.09,0.362629,1001.95,3,0,0,0,0
244,8090,1,0.03,0.35,0.11,0.368103,1001.78,3,0,0,0,0
245,8091,1,0.03,0.35,0.13,0.374566,1001.6,3,0,0,0,0
246,8092,1,0.03,0.35,0.15,0.381969,1001.42,3,0,0,0,0
247,8093,1,0.03,0.35,0.17,0.390256,1001.25,3,0,0,0,0
248,8094,1,0.03,0.35,0.19,0.399375,1001.07,3,0,0,0,0
249,8095,1,0.03,0.35,0.21,0.409268,1000.89,3,0,0,0,0
250,8096,1,0.03,0.35,0.23,0.419881,1000.71,3,0,0,0,0
251,8097,1,0.03,0.35,0.25,0.431161,1000.53,3,0,0,0,0
252,8098,1,0.03,0.35,0.27,0.443058,1000.36,3,0,0,0,0
253,8099,1,0.03,0.35,0.29,0.455522,1000.18,3,0,0,0,0
254,8100,1,0.03,0.35,0.31,0.468508,1000,3,0,0,0,0
255,8101,1,0.03,0.37,0.03,0.372424,1002.48,3,0,0,0,0
256,8102,1,0.03,0.37,0.05,0.374566,1002.31,3,0,0,0,0
257,8103,1,0.03,0.37,0.07,0.377757,1002.13,3,0,0,0,0
258,8104,1,0.03,0.37,0.09,0.381969,1001.95,3,0,0,0,0
259,8105,1,0.03,0.37,0.11,0.387169,1001.78,3,0,0,0,0
260,8106,1,0.03,0.37,0.13,0.393319,1001.6,3,0,0,0,0
261,8107,1,0.03,0.37,0.15,0.400375,1001.42,3,0,0,0,0
262,8108,1,0.03,0.37,0.17,0.408289,1001.25,3,0,0,0,0
263,8109,1,0.03,0.37,0.19,0.417013,1001.07,3,0,0,0,0
264,8110,1,0.03,0.37,0.21,0.426497,1000.89,3,0,0,0,0
265,8111,1,0.03,0.37,0.23,0.436692,1000.71,3,0,0,0,0
266,8112,1,0.03,0.37,0.25,0.447549,1000.53,3,0,0,0,0
267,8113,1,0.03,0.37,0.27,0.459021,1000.36,3,0,0,0,0
268,8114,1,0.03,0.37,0.29,0.471063,1000.18,3,0,0,0,0
269,8115,1,0.03,0.37,0.31,0.483632,1000,3,0,0,0,0
270,8116,1,0.03,0.39,0.03,0.392301,1002.48,3,0,0,0,0
271,8117,1,0.03,0.39,0.05,0.394335,1002.31,3,0,0,0,0
272,8118,1,0.03,0.39,0.07,0.397366,1002.13,3,0,0,0,0
273,8119,1,0.03,0.39,0.09,0.401373,1001.95,3,0,0,0,0
274,8120,1,0.03,0.39,0.11,0.406325,1001.78,3,0,0,0,0
275,8121,1,0.03,0.39,0.13,0.412189,1001.6,3,0,0,0,0
276,8122,1,0.03,0.39,0.15,0.418927,1001.42,3,0,0,0,0
277,8123,1,0.03,0.39,0.17,0.426497,1001.25,3,0,0,0,0
278,8124,1,0.03,0.39,0.19,0.434856,1001.07,3,0,0,0,0
279,8125,1,0.03,0.39,0.21,0.443959,1000.89,3,0,0,0,0
280,8126,1,0.03,0.39,0.23,0.453762,1000.71,3,0,0,0,0
281,8127,1,0.03,0.39,0.25,0.46422,1000.53,3,0,0,0,0
282,8128,1,0.03,0.39,0.27,0.475289,1000.36,3,0,0,0,0
283,8129,1,0.03,0.39,0.29,0.486929,1000.18,3,0,0,0,0
284,8130,1,0.03,0.39,0.31,0.499099,1000,3,0,0,0,0
285,8131,1,0.03,0.41,0.03,0.412189,1002.48,3,0,0,0,0
286,8132,1,0.03,0.41,0.05,0.414126,1002.31,3,0,0,0,0
287,8133,1,0.03,0.41,0.07,0.417013,1002.13,3,0,0,0,0
288,8134,1,0.03,0.41,0.09,0.420833,1001.95,3,0,0,0,0
289,8135,1,0.03,0.41,0.11,0.425558,1001.78,3,0,0,0,0
290,8136,1,0.03,0.41,0.13,0.431161,1001.6,3,0,0,0,0
291,8137,1,0.03,0.41,0.15,0.437607,1001.42,3,0,0,0,0
292,8138,1,0.03,0.41,0.17,0.44486,1001.25,3,0,0,0,0
293,8139,1,0.03,0.41,0.19,0.45288,1001.07,3,0,0,0,0
294,8140,1,0.03,0.41,0.21,0.461628,1000.89,3,0,0,0,0
295,8141,1,0.03,0.41,0.23,0.471063,1000.71,3,0,0,0,0
296,8142,1,0.03,0.41,0.25,0.481144,1000.53,3,0,0,0,0
297,8143,1,0.03,0.41,0.27,0.491833,1000.36,3,0,0,0,0
298,8144,1,0.03,0.41,0.29,0.50309,1000.18,3,0,0,0,0
299,8145,1,0.03,0.41,0.31,0.514879,1000,3,0,0,0,0
300,8146,1,0.03,0.43,0.03,0.432088,1002.48,3,0,0,0,0
301,8147,1,0.03,0.43,0.05,0.433935,1002.31,3,0,0,0,0
302,8148,1,0.03,0.43,0.07,0.436692,1002.13,3,0,0,0,0
303,8149,1,0.03,0.43,0.09,0.440341,1001.95,3,0,0,0,0
304,8150,1,0.03,0.43,0.11,0.44486,1001.78,3,0,0,0,0
305,8151,1,0.03,0.43,0.13,0.450222,1001.6,3,0,0,0,0
306,8152,1,0.03,0.43,0.15,0.456399,1001.42,3,0,0,0,0
307,8153,1,0.03,0.43,0.17,0.463357,1001.25,3,0,0,0,0
308,8154,1,0.03,0.43,0.19,0.471063,1001.07,3,0,0,0,0
309,8155,1,0.03,0.43,0.21,0.479479,1000.89,3,0,0,0,0
310,8156,1,0.03,0.43,0.23,0.488569,1000.71,3,0,0,0,0
311,8157,1,0.03,0.43,0.25,0.498297,1000.53,3,0,0,0,0
312,8158,1,0.03,0.43,0.27,0.508626,1000.36,3,0,0,0,0
313,8159,1,0.03,0.43,0.29,0.519519,1000.18,3,0,0,0,0
314,8160,1,0.03,0.43,0.31,0.530943,1000,3,0,0,0,0
315,8161,1,0.03,0.45,0.03,0.451996,1002.48,3,0,0,0,0
316,8162,1,0.03,0.45,0.05,0.453762,1002.31,3,0,0,0,0
317,8163,1,0.03,0.45,0.07,0.456399,1002.13,3,0,0,0,0
318,8164,1,0.03,0.45,0.09,0.459891,1001.95,3,0,0,0,0
319,8165,1,0.03,0.45,0.11,0.46422,1001.78,3,0,0,0,0
320,8166,1,0.03,0.45,0.13,0.469361,1001.6,3,0,0,0,0
321,8167,1,0.03,0.45,0.15,0.475289,1001.42,3,0,0,0,0
322,8168,1,0.03,0.45,0.17,0.481975,1001.25,3,0,0,0,0
323,8169,1,0.03,0.45,0.19,0.489387,1001.07,3,0,0,0,0
324,8170,1,0.03,0.45,0.21,0.497494,1000.89,3,0,0,0,0
325,8171,1,0.03,0.45,0.23,0.506261,1000.71,3,0,0,0,0
326,8172,1,0.03,0.45,0.25,0.515655,1000.53,3,0,0,0,0
327,8173,1,0.03,0.45,0.27,0.525642,1000.36,3,0,0,0,0
328,8174,1,0.03,0.45,0.29,0.53619,1000.18,3,0,0,0,0
329,8175,1,0.03,0.45,0.31,0.547266,1000,3,0,0,0,0
330,8176,1,0.03,0.47,0.03,0.471911,1002.48,3,0,0,0,0
331,8177,1,0.03,0.47,0.05,0.473603,1002.31,3,0,0,0,0
332,8178,1,0.03,0.47,0.07,0.47613,1002.13,3,0,0,0,0
333,8179,1,0.03,0.47,0.09,0.479479,1001.95,3,0,0,0,0
334,8180,1,0.03,0.47,0.11,0.483632,1001.78,3,0,0,0,0
335,8181,1,0.03,0.47,0.13,0.488569,1001.6,3,0,0,0,0
336,8182,1,0.03,0.47,0.15,0.494267,1001.42,3,0,0,0,0
337,8183,1,0.03,0.47,0.17,0.5007,1001.25,3,0,0,0,0
338,8184,1,0.03,0.47,0.19,0.507839,1001.07,3,0,0,0,0
339,8185,1,0.03,0.47,0.21,0.515655,1000.89,3,0,0,0,0
340,8186,1,0.03,0.47,0.23,0.524118,1000.71,3,0,0,0,0
341,8187,1,0.03,0.47,0.25,0.533198,1000.53,3,0,0,0,0
342,8188,1,0.03,0.47,0.27,0.542863,1000.36,3,0,0,0,0
343,8189,1,0.03,0.47,0.29,0.553082,1000.18,3,0,0,0,0
344,8190,1,0.03,0.47,0.31,0.563826,1000,3,0,0,0,0
345,8191,1,0.03,0.49,0.03,0.491833,1002.48,3,0,0,0,0
346,8192,1,0.03,0.49,0.05,0.493457,1002.31,3,0,0,0,0
347,8193,1,0.03,0.49,0.07,0.495883,1002.13,3,0,0,0,0
348,8194,1,0.03,0.49,0.09,0.499099,1001.95,3,0,0,0,0
349,8195,1,0.03,0.49,0.11,0.50309,1001.78,3,0,0,0,0
