"Idp","Vel:0","Vel:1","Vel:2","Rhop","Points:0","Points:1","Points:2"
1001,0,0,0,1001.1,0.36,0,0.28
1002,0,0,0,1001,0.36,0,0.3
1003,0,0,0,1000.9,0.36,0,0.32
1004,0,0,0,1000.8,0.36,0,0.34
1005,0,0,0,1000.7,0.36,0,0.36
1006,0,0,0,1000.5,0.36,0,0.38
1007,0,0,0,1000.4,0.36,0,0.4
1008,0,0,0,1000.3,0.36,0,0.42
1009,0,0,0,1000.2,0.36,0,0.44
1010,0,0,0,1000.1,0.36,0,0.46
1011,0,0,0,1000,0.36,0,0.48
1012,0,0,0,1002.5,0.38,0,0.02
1013,0,0,0,1002.4,0.38,0,0.04
1014,0,0,0,1002.3,0.38,0,0.06
1015,0,0,0,1002.2,0.38,0,0.08
1016,0,0,0,1002.1,0.38,0,0.1
1017,0,0,0,1001.9,0.38,0,0.12
1018,0,0,0,1001.8,0.38,0,0.14
1019,0,0,0,1001.7,0.38,0,0.16
1020,0,0,0,1001.6,0.38,0,0.18
1021,0,0,0,1001.5,0.38,0,0.2
1022,0,0,0,1001.4,0.38,0,0.22
1023,0,0,0,1001.3,0.38,0,0.24
1024,0,0,0,1001.2,0.38,0,0.26
1025,0,0,0,1001.1,0.38,0,0.28
1026,0,0,0,1001,0.38,0,0.3
1027,0,0,0,1000.9,0.38,0,0.32
1028,0,0,0,1000.8,0.38,0,0.34
1029,0,0,0,1000.7,0.38,0,0.36
1030,0,0,0,1000.5,0.38,0,0.38
1031,0,0,0,1000.4,0.38,0,0.4
1032,0,0,0,1000.3,0.38,0,0.42
1033,0,0,0,1000.2,0.38,0,0.44
1034,0,0,0,1000.1,0.38,0,0.46
1035,0,0,0,1000,0.38,0,0.48
1036,0,0,0,1002.5,0.4,0,0.02
1037,0,0,0,1002.4,0.4,0,0.04
1038,0,0,0,1002.3,0.4,0,0.06
1039,0,0,0,1002.2,0.4,0,0.08
1040,0,0,0,1002.1,0.4,0,0.1
1041,0,0,0,1001.9,0.4,0,0.12
1042,0,0,0,1001.8,0.4,0,0.14
1043,0,0,0,1001.7,0.4,0,0.16
1044,0,0,0,1001.6,0.4,0,0.18
1045,0,0,0,1001.5,0.4,0,0.2
1046,0,0,0,1001.4,0.4,0,0.22
1047,0,0,0,1001.3,0.4,0,0.24
1048,0,0,0,1001.2,0.4,0,0.26
1049,0,0,0,1001.1,0.4,0,0.28
1050,0,0,0,1001,0.4,0,0.3
1051,0,0,0,1000.9,0.4,0,0.32
1052,0,0,0,1000.8,0.4,0,0.34
1053,0,0,0,1000.7,0.4,0,0.36
1054,0,0,0,1000.5,0.4,0,0.38
1055,0,0,0,1000.4,0.4,0,0.4
1056,0,0,0,1000.3,0.4,0,0.42
1057,0,0,0,1000.2,0.4,0,0.44
1058,0,0,0,1000.1,0.4,0,0.46
1059,0,0,0,1000,0.4,0,0.48
1060,0,0,0,1002.5,0.42,0,0.02
1061,0,0,0,1002.4,0.42,0,0.04
1062,0,0,0,1002.3,0.42,0,0.06
1063,0,0,0,1002.2,0.42,0,0.08
1064,0,0,0,1002.1,0.42,0,0.1
1065,0,0,0,1001.9,0.42,0,0.12
1066,0,0,0,1001.8,0.42,0,0.14
1067,0,0,0,1001.7,0.42,0,0.16
1068,0,0,0,1001.6,0.42,0,0.18
1069,0,0,0,1001.5,0.42,0,0.2
1070,0,0,0,1001.4,0.42,0,0.22
