"Point ID", "Idp", "Mk", "Normal:0","Normal:1","Normal:2", "Normal_Magnitude", "NormalSize","Points:0","Points:1","Points:2", "Points_Magnitude"
251,251,10,-0.01,0,0.01,0.0141422,0.0141422,0.9,0,0.06,0.901998
252,252,10,-0.07,0,0.07,0.098995,0.098995,0.92,0,0.02,0.920217
253,253,10,-0.05,0,0.05,0.0707107,0.0707107,0.92,0,0.04,0.920869
254,254,10,-0.03,0,0.03,0.0424264,0.0424264,0.92,0,0.06,0.921954
255,255,10,-0.01,0,0.01,0.0141422,0.0141422,0.92,0,0.08,0.923472
256,256,10,-0.07,0,0.07,0.098995,0.098995,0.94,0,0.04,0.940851
257,257,10,-0.05,0,0.05,0.0707107,0.0707107,0.94,0,0.06,0.941913
258,258,10,-0.03,0,0.03,0.0424264,0.0424264,0.94,0,0.08,0.943398
259,259,10,-0.01,0,0.01,0.0141422,0.0141422,0.94,0,0.1,0.945304
260,260,10,-0.07,0,0.07,0.098995,0.098995,0.96,0,0.06,0.961873
261,261,10,-0.05,0,0.05,0.0707107,0.0707107,0.96,0,0.08,0.963328
262,262,10,-0.03,0,0.03,0.0424264,0.0424264,0.96,0,0.1,0.965194
263,263,10,-0.01,0,0.01,0.0141421,0.0141421,0.96,0,0.12,0.967471
264,264,10,-0.07,0,0.07,0.098995,0.098995,0.98,0,0.08,0.98326
265,265,10,-0.05,0,0.05,0.0707107,0.0707107,0.98,0,0.1,0.985089
266,266,10,-0.03,0,0.03,0.0424264,0.0424264,0.98,0,0.12,0.98732
267,267,10,-0.01,0,0.01,0.0141421,0.0141421,0.98,0,0.14,0.989949
268,268,10,-0.07,0,0.07,0.098995,0.098995,1,0,0.1,1.00499
269,269,10,-0.05,0,0.05,0.0707107,0.0707107,1,0,0.12,1.00717
270,270,10,-0.03,0,0.03,0.0424264,0.0424264,1,0,0.14,1.00975
271,271,10,-0.01,0,0.01,0.0141421,0.0141421,1,0,0.16,1.01272
272,272,10,-0.07,0,0.07,0.098995,0.098995,1.02,0,0.12,1.02703
273,273,10,-0.05,0,0.05,0.0707107,0.0707107,1.02,0,0.14,1.02956
274,274,10,-0.03,0,0.03,0.0424264,0.0424264,1.02,0,0.16,1.03247
275,275,10,-0.01,0,0.01,0.0141421,0.0141421,1.02,0,0.18,1.03576
276,276,10,-0.07,0,0.07,0.0989949,0.0989949,1.04,0,0.14,1.04938
277,277,10,-0.05,0,0.05,0.0707107,0.0707107,1.04,0,0.16,1.05224
278,278,10,-0.03,0,0.03,0.0424264,0.0424264,1.04,0,0.18,1.05546
279,279,10,-0.01,0,0.01,0.0141421,0.0141421,1.04,0,0.2,1.05906
280,280,10,-0.07,0,0.07,0.0989949,0.0989949,1.06,0,0.16,1.07201
281,281,10,-0.05,0,0.05,0.0707107,0.0707107,1.06,0,0.18,1.07517
282,282,10,-0.03,0,0.03,0.0424264,0.0424264,1.06,0,0.2,1.0787
283,283,10,-0.00999999,0,0.00999999,0.0141421,0.0141421,1.06,0,0.22,1.08259
284,284,10,-0.07,0,0.07,0.0989949,0.0989949,1.08,0,0.18,1.0949
285,285,10,-0.05,0,0.05,0.0707107,0.0707107,1.08,0,0.2,1.09836
286,286,10,-0.03,0,0.03,0.0424264,0.0424264,1.08,0,0.22,1.10218
287,287,10,-0.00999999,0,0.00999999,0.0141421,0.0141421,1.08,0,0.24,1.10635
288,288,10,4.76837e-08,0,0.14,0.14,0.14,1.1,0,0.2,1.11803
289,289,10,4.76837e-08,0,0.1,0.1,0.1,1.1,0,0.22,1.12178
290,290,10,4.76837e-08,0,0.06,0.06,0.06,1.1,0,0.24,1.12588
291,291,10,4.76837e-08,0,0.02,0.02,0.02,1.1,0,0.26,1.13031
292,292,10,0.07,0,0.07,0.098995,0.098995,1.12,0,0.18,1.13437
293,293,10,0.05,0,0.05,0.0707107,0.0707107,1.12,0,0.2,1.13772
294,294,10,0.03,0,0.03,0.0424265,0.0424265,1.12,0,0.22,1.1414
295,295,10,0.01,0,0.01,0.0141422,0.0141422,1.12,0,0.24,1.14543
296,296,10,0.07,0,0.07,0.098995,0.098995,1.14,0,0.16,1.15117
297,297,10,0.05,0,0.05,0.0707107,0.0707107,1.14,0,0.18,1.15412
298,298,10,0.03,0,0.03,0.0424264,0.0424264,1.14,0,0.2,1.15741
299,299,10,0.01,0,0.01,0.0141422,0.0141422,1.14,0,0.22,1.16103
300,300,10,0.07,0,0.07,0.098995,0.098995,1.16,0,0.14,1.16842
301,301,10,0.05,0,0.05,0.0707107,0.0707107,1.16,0,0.16,1.17098
302,302,10,0.03,0,0.03,0.0424264,0.0424264,1.16,0,0.18,1.17388
303,303,10,0.01,0,0.01,0.0141422,0.0141422,1.16,0,0.2,1.17712
304,304,10,0.07,0,0.07,0.098995,0.098995,1.18,0,0.12,1.18609
305,305,10,0.05,0,0.05,0.0707107,0.0707107,1.18,0,0.14,1.18828
306,306,10,0.03,0,0.03,0.0424264,0.0424264,1.18,0,0.16,1.1908
307,307,10,0.01,0,0.01,0.0141422,0.0141422,1.18,0,0.18,1.19365
308,308,10,0.07,0,0.07,0.098995,0.098995,1.2,0,0.1,1.20416
309,309,10,0.05,0,0.05,0.0707107,0.0707107,1.2,0,0.12,1.20599
310,310,10,0.03,0,0.03,0.0424264,0.0424264,1.2,0,0.14,1.20814
311,311,10,0.01,0,0.01,0.0141422,0.0141422,1.2,0,0.16,1.21062
312,312,10,0.07,0,0.07,0.098995,0.098995,1.22,0,0.08,1.22262
313,313,10,0.05,0,0.05,0.0707107,0.0707107,1.22,0,0.1,1.22409
314,314,10,0.03,0,0.03,0.0424264,0.0424264,1.22,0,0.12,1.22589
315,315,10,0.01,0,0.01,0.0141422,0.0141422,1.22,0,0.14,1.22801
316,316,10,0.07,0,0.07,0.098995,0.098995,1.24,0,0.06,1.24145
317,317,10,0.05,0,0.05,0.0707107,0.0707107,1.24,0,0.08,1.24258
318,318,10,0.03,0,0.03,0.0424264,0.0424264,1.24,0,0.1,1.24403
319,319,10,0.01,0,0.01,0.0141422,0.0141422,1.24,0,0.12,1.24579
320,320,10,0.07,0,0.07,0.098995,0.098995,1.26,0,0.04,1.26063
321,321,10,0.05,0,0.05,0.0707107,0.0707107,1.26,0,0.06,1.26143
322,322,10,0.03,0,0.03,0.0424264,0.0424264,1.26,0,0.08,1.26254
323,323,10,0.01,0,0.01,0.0141422,0.0141422,1.26,0,0.1,1.26396
324,324,10,0.07,0,0.07,0.098995,0.098995,1.28,0,0.02,1.28016
325,325,10,0.05,0,0.05,0.0707107,0.0707107,1.28,0,0.04,1.28062
326,326,10,0.03,0,0.03,0.0424264,0.0424264,1.28,0,0.06,1.28141
327,327,10,0.01,0,0.01,0.0141422,0.0141422,1.28,0,0.08,1.2825
328,328,10,0.07,0,0.07,0.098995,0.098995,1.3,0,0,1.3
329,329,10,0.05,0,0.05,0.0707107,0.0707107,1.3,0,0.02,1.30015
330,330,10,0.03,0,0.03,0.0424264,0.0424264,1.3,0,0.04,1.30062
331,331,10,0.01,0,0.01,0.0141422,0.0141422,1.3,0,0.06,1.30138
332,332,10,0.07,0,0.07,0.098995,0.098995,1.32,0,-0.02,1.32015
333,333,10,0.05,0,0.05,0.0707107,0.0707107,1.32,0,0,1.32
334,334,10,0.03,0,0.03,0.0424264,0.0424264,1.32,0,0.02,1.32015
335,335,10,0.01,0,0.01,0.0141422,0.0141422,1.32,0,0.04,1.32061
336,336,10,0.04,0,0.1,0.107703,0.107703,1.34,0,-0.04,1.3406
337,337,10,0.04,0,0.06,0.072111,0.072111,1.34,0,-0.02,1.34015
338,338,10,0.03,0,0.03,0.0424264,0.0424264,1.34,0,0,1.34
339,339,10,0.01,0,0.01,0.0141422,0.0141422,1.34,0,0.02,1.34015
340,340,10,0,0,0.1,0.1,0.1,1.36,0,-0.04,1.36059
341,341,10,0,0,0.06,0.06,0.06,1.36,0,-0.02,1.36015
342,342,10,0,0,0.02,0.02,0.02,1.36,0,0,1.36
343,343,10,0,0,0.1,0.1,0.1,1.38,0,-0.04,1.38058
344,344,10,0,0,0.06,0.06,0.06,1.38,0,-0.02,1.38014
345,345,10,0,0,0.02,0.02,0.02,1.38,0,0,1.38
346,346,10,0,0,0.1,0.1,0.1,1.4,0,-0.04,1.40057
347,347,10,0,0,0.06,0.06,0.06,1.4,0,-0.02,1.40014
348,348,10,0,0,0.02,0.02,0.02,1.4,0,0,1.4
349,349,10,0,0,0.1,0.1,0.1,1.42,0,-0.04,1.42056
350,350,10,0,0,0.06,0.06,0.06,1.42,0,-0.02,1.42014
351,351,10,0,0,0.02,0.02,0.02,1.42,0,0,1.42
