"Idp","Vel:0","Vel:1","Vel:2","Rhop","Press","Vor:0","Vor:1","Vor:2","Type","Points:0","Points:1","Points:2"
70,0,0,0,1000,0,0,0,0,0,0,0,2.8
71,0,0,0,1000,0,0,0,0,0,0,0,2.84
72,0,0,0,1000,0,0,0,0,0,0,0,2.88
73,0,0,0,1000,0,0,0,0,0,0,0,2.92
74,0,0,0,1000,0,0,0,0,0,0,0,2.96
75,0,0,0,1000,0,0,0,0,0,0,0,3
130,0,0,0,1000,0,0,0,0,0,0.04,0,2.16
131,0,0,0,1000,0,0,0,0,0,0.04,0,2.2
132,0,0,0,1000,0,0,0,0,0,0.04,0,2.24
133,0,0,0,1000,0,0,0,0,0,0.04,0,2.28
134,0,0,0,1000,0,0,0,0,0,0.04,0,2.32
135,0,0,0,1000,0,0,0,0,0,0.04,0,2.36
136,0,0,0,1000,0,0,0,0,0,0.04,0,2.4
137,0,0,0,1000,0,0,0,0,0,0.04,0,2.44
138,0,0,0,1000,0,0,0,0,0,0.04,0,2.48
139,0,0,0,1000,0,0,0,0,0,0.04,0,2.52
140,0,0,0,1000,0,0,0,0,0,0.04,0,2.56
141,0,0,0,1000,0,0,0,0,0,0.04,0,2.6
142,0,0,0,1000,0,0,0,0,0,0.04,0,2.64
143,0,0,0,1000,0,0,0,0,0,0.04,0,2.68
144,0,0,0,1000,0,0,0,0,0,0.04,0,2.72
145,0,0,0,1000,0,0,0,0,0,0.04,0,2.76
146,0,0,0,1000,0,0,0,0,0,0.04,0,2.8
147,0,0,0,1000,0,0,0,0,0,0.04,0,2.84
148,0,0,0,1000,0,0,0,0,0,0.04,0,2.88
149,0,0,0,1000,0,0,0,0,0,0.04,0,2.92
150,0,0,0,1000,0,0,0,0,0,0.04,0,2.96
151,0,0,0,1000,0,0,0,0,0,0.04,0,3
206,0,0,0,1000,0,0,0,0,0,0.08,0,2.16
207,0,0,0,1000,0,0,0,0,0,0.08,0,2.2
208,0,0,0,1000,0,0,0,0,0,0.08,0,2.24
209,0,0,0,1000,0,0,0,0,0,0.08,0,2.28
210,0,0,0,1000,0,0,0,0,0,0.08,0,2.32
211,0,0,0,1000,0,0,0,0,0,0.08,0,2.36
212,0,0,0,1000,0,0,0,0,0,0.08,0,2.4
213,0,0,0,1000,0,0,0,0,0,0.08,0,2.44
