"Idp","Vel:0","Vel:1","Vel:2","Rhop","Mass","Press","Type","Mk","Points:0","Points:1","Points:2"
412,0,0,0,1000,0.4,0,0,10,4,0,1.24
413,0,0,0,1000,0.4,0,0,10,4,0,1.26
414,0,0,0,1000,0.4,0,0,10,4,0,1.28
415,0,0,0,1000,0.4,0,0,10,4,0,1.3
416,0,0,0,1000,0.4,0,0,10,4,0,1.32
417,0,0,0,1000,0.4,0,0,10,4,0,1.34
418,0,0,0,1000,0.4,0,0,10,4,0,1.36
419,0,0,0,1000,0.4,0,0,10,4,0,1.38
420,0,0,0,1000,0.4,0,0,10,4,0,1.4
421,0,0,0,1000,0.4,0,0,10,4,0,1.42
422,0,0,0,1000,0.4,0,0,10,4,0,1.44
423,0,0,0,1000,0.4,0,0,10,4,0,1.46
424,0,0,0,1000,0.4,0,0,10,4,0,1.48
425,0,0,0,1000,0.4,0,0,10,4,0,1.5
426,0,0,0,1000,0.4,0,0,10,4,0,1.52
427,0,0,0,1000,0.4,0,0,10,4,0,1.54
428,0,0,0,1000,0.4,0,0,10,4,0,1.56
429,0,0,0,1000,0.4,0,0,10,4,0,1.58
430,0,0,0,1000,0.4,0,0,10,4,0,1.6
431,0,0,0,1000,0.4,0,0,10,4,0,1.62
432,0,0,0,1000,0.4,0,0,10,4,0,1.64
433,0,0,0,1000,0.4,0,0,10,4,0,1.66
434,0,0,0,1000,0.4,0,0,10,4,0,1.68
435,0,0,0,1000,0.4,0,0,10,4,0,1.7
436,0,0,0,1000,0.4,0,0,10,4,0,1.72
437,0,0,0,1000,0.4,0,0,10,4,0,1.74
438,0,0,0,1000,0.4,0,0,10,4,0,1.76
439,0,0,0,1000,0.4,0,0,10,4,0,1.78
440,0,0,0,1000,0.4,0,0,10,4,0,1.8
441,0,0,0,1000,0.4,0,0,10,4,0,1.82
442,0,0,0,1000,0.4,0,0,10,4,0,1.84
443,0,0,0,1000,0.4,0,0,10,4,0,1.86
444,0,0,0,1000,0.4,0,0,10,4,0,1.88
445,0,0,0,1000,0.4,0,0,10,4,0,1.9
446,0,0,0,1000,0.4,0,0,10,4,0,1.92
447,0,0,0,1000,0.4,0,0,10,4,0,1.94
448,0,0,0,1000,0.4,0,0,10,4,0,1.96
449,0,0,0,1000,0.4,0,0,10,4,0,1.98
450,0,0,0,1000,0.4,0,0,10,4,0,2
451,0,0,0,1000,0.4,0,0,10,4,0,2.02
452,0,0,0,1000,0.4,0,0,10,4,0,2.04
453,0,0,0,1000,0.4,0,0,10,4,0,2.06
454,0,0,0,1000,0.4,0,0,10,4,0,2.08
455,0,0,0,1000,0.4,0,0,10,4,0,2.1
456,0,0,0,1000,0.4,0,0,10,4,0,2.12
457,0,0,0,1000,0.4,0,0,10,4,0,2.14
458,0,0,0,1000,0.4,0,0,10,4,0,2.16
459,0,0,0,1000,0.4,0,0,10,4,0,2.18
460,0,0,0,1000,0.4,0,0,10,4,0,2.2
461,0,0,0,1000,0.4,0,0,10,4,0,2.22
462,0,0,0,1000,0.4,0,0,10,4,0,2.24
463,0,0,0,1000,0.4,0,0,10,4,0,2.26
464,0,0,0,1000,0.4,0,0,10,4,0,2.28
465,0,0,0,1000,0.4,0,0,10,4,0,2.3
466,0,0,0,1000,0.4,0,0,10,4,0,2.32
467,0,0,0,1000,0.4,0,0,10,4,0,2.34
468,0,0,0,1000,0.4,0,0,10,4,0,2.36
469,0,0,0,1000,0.4,0,0,10,4,0,2.38
470,0,0,0,1000,0.4,0,0,10,4,0,2.4
471,0,0,0,1000,0.4,0,0,10,4,0,2.42
472,0,0,0,1000,0.4,0,0,10,4,0,2.44
