"Idp","Vel:0","Vel:1","Vel:2","Rhop","Press","Vor:0","Vor:1","Vor:2","Type","Points:0","Points:1","Points:2"
1280,0,0,0,1001.9,14126,0,0,0,3,0.56,0,0.56
1326,0,0,0,1002,14911,0,0,0,3,0.6,0,0.48
1327,0,0,0,1002,14519,0,0,0,3,0.6,0,0.52
1328,0,0,0,1001.9,14126,0,0,0,3,0.6,0,0.56
1374,0,0,0,1002,14911,0,0,0,3,0.64,0,0.48
1375,0,0,0,1002,14519,0,0,0,3,0.64,0,0.52
1376,0,0,0,1001.9,14126,0,0,0,3,0.64,0,0.56
1422,0,0,0,1002,14911,0,0,0,3,0.68,0,0.48
1423,0,0,0,1002,14519,0,0,0,3,0.68,0,0.52
1424,0,0,0,1001.9,14126,0,0,0,3,0.68,0,0.56
1470,0,0,0,1002,14911,0,0,0,3,0.72,0,0.48
1471,0,0,0,1002,14519,0,0,0,3,0.72,0,0.52
1472,0,0,0,1001.9,14126,0,0,0,3,0.72,0,0.56
1518,0,0,0,1002,14911,0,0,0,3,0.76,0,0.48
1519,0,0,0,1002,14519,0,0,0,3,0.76,0,0.52
1520,0,0,0,1001.9,14126,0,0,0,3,0.76,0,0.56
1566,0,0,0,1002,14911,0,0,0,3,0.8,0,0.48
1567,0,0,0,1002,14519,0,0,0,3,0.8,0,0.52
1568,0,0,0,1001.9,14126,0,0,0,3,0.8,0,0.56
1614,0,0,0,1002,14911,0,0,0,3,0.84,0,0.48
1615,0,0,0,1002,14519,0,0,0,3,0.84,0,0.52
1616,0,0,0,1001.9,14126,0,0,0,3,0.84,0,0.56
1662,0,0,0,1002,14911,0,0,0,3,0.88,0,0.48
1663,0,0,0,1002,14519,0,0,0,3,0.88,0,0.52
1664,0,0,0,1001.9,14126,0,0,0,3,0.88,0,0.56
1710,0,0,0,1002,14911,0,0,0,3,0.92,0,0.48
1711,0,0,0,1002,14519,0,0,0,3,0.92,0,0.52
1712,0,0,0,1001.9,14126,0,0,0,3,0.92,0,0.56
1758,0,0,0,1002,14911,0,0,0,3,0.96,0,0.48
1759,0,0,0,1002,14519,0,0,0,3,0.96,0,0.52
1760,0,0,0,1001.9,14126,0,0,0,3,0.96,0,0.56
1806,0,0,0,1002,14911,0,0,0,3,1,0,0.48
1807,0,0,0,1002,14519,0,0,0,3,1,0,0.52
1808,0,0,0,1001.9,14126,0,0,0,3,1,0,0.56
753,0,0,0,1001.9,13734,0,0,0,3,0.12,0,0.6
754,0,0,0,1001.8,13342,0,0,0,3,0.12,0,0.64
801,0,0,0,1001.9,13734,0,0,0,3,0.16,0,0.6
802,0,0,0,1001.8,13342,0,0,0,3,0.16,0,0.64
849,0,0,0,1001.9,13734,0,0,0,3,0.2,0,0.6
850,0,0,0,1001.8,13342,0,0,0,3,0.2,0,0.64
897,0,0,0,1001.9,13734,0,0,0,3,0.24,0,0.6
898,0,0,0,1001.8,13342,0,0,0,3,0.24,0,0.64
945,0,0,0,1001.9,13734,0,0,0,3,0.28,0,0.6
946,0,0,0,1001.8,13342,0,0,0,3,0.28,0,0.64
993,0,0,0,1001.9,13734,0,0,0,3,0.32,0,0.6
994,0,0,0,1001.8,13342,0,0,0,3,0.32,0,0.64
1041,0,0,0,1001.9,13734,0,0,0,3,0.36,0,0.6
1042,0,0,0,1001.8,13342,0,0,0,3,0.36,0,0.64
1089,0,0,0,1001.9,13734,0,0,0,3,0.4,0,0.6
1090,0,0,0,1001.8,13342,0,0,0,3,0.4,0,0.64
1137,0,0,0,1001.9,13734,0,0,0,3,0.44,0,0.6
1138,0,0,0,1001.8,13342,0,0,0,3,0.44,0,0.64
1185,0,0,0,1001.9,13734,0,0,0,3,0.48,0,0.6
1186,0,0,0,1001.8,13342,0,0,0,3,0.48,0,0.64
1233,0,0,0,1001.9,13734,0,0,0,3,0.52,0,0.6
1234,0,0,0,1001.8,13342,0,0,0,3,0.52,0,0.64
1281,0,0,0,1001.9,13734,0,0,0,3,0.56,0,0.6
1282,0,0,0,1001.8,13342,0,0,0,3,0.56,0,0.64
1329,0,0,0,1001.9,13734,0,0,0,3,0.6,0,0.6
1330,0,0,0,1001.8,13342,0,0,0,3,0.6,0,0.64
1377,0,0,0,1001.9,13734,0,0,0,3,0.64,0,0.6
1378,0,0,0,1001.8,13342,0,0,0,3,0.64,0,0.64
1425,0,0,0,1001.9,13734,0,0,0,3,0.68,0,0.6
1426,0,0,0,1001.8,13342,0,0,0,3,0.68,0,0.64
1473,0,0,0,1001.9,13734,0,0,0,3,0.72,0,0.6
1474,0,0,0,1001.8,13342,0,0,0,3,0.72,0,0.64
1521,0,0,0,1001.9,13734,0,0,0,3,0.76,0,0.6
1522,0,0,0,1001.8,13342,0,0,0,3,0.76,0,0.64
1569,0,0,0,1001.9,13734,0,0,0,3,0.8,0,0.6
1570,0,0,0,1001.8,13342,0,0,0,3,0.8,0,0.64
1617,0,0,0,1001.9,13734,0,0,0,3,0.84,0,0.6
1618,0,0,0,1001.8,13342,0,0,0,3,0.84,0,0.64
1665,0,0,0,1001.9,13734,0,0,0,3,0.88,0,0.6
1666,0,0,0,1001.8,13342,0,0,0,3,0.88,0,0.64
1713,0,0,0,1001.9,13734,0,0,0,3,0.92,0,0.6
1714,0,0,0,1001.8,13342,0,0,0,3,0.92,0,0.64
1761,0,0,0,1001.9,13734,0,0,0,3,0.96,0,0.6
1762,0,0,0,1001.8,13342,0,0,0,3,0.96,0,0.64
1809,0,0,0,1001.9,13734,0,0,0,3,1,0,0.6
1810,0,0,0,1001.8,13342,0,0,0,3,1,0,0.64
755,0,0,0,1001.7,12949,0,0,0,3,0.12,0,0.68
756,0,0,0,1001.7,12557,0,0,0,3,0.12,0,0.72
757,0,0,0,1001.6,12164,0,0,0,3,0.12,0,0.76
803,0,0,0,1001.7,12949,0,0,0,3,0.16,0,0.68
804,0,0,0,1001.7,12557,0,0,0,3,0.16,0,0.72
805,0,0,0,1001.6,12164,0,0,0,3,0.16,0,0.76
851,0,0,0,1001.7,12949,0,0,0,3,0.2,0,0.68
852,0,0,0,1001.7,12557,0,0,0,3,0.2,0,0.72
853,0,0,0,1001.6,12164,0,0,0,3,0.2,0,0.76
899,0,0,0,1001.7,12949,0,0,0,3,0.24,0,0.68
900,0,0,0,1001.7,12557,0,0,0,3,0.24,0,0.72
901,0,0,0,1001.6,12164,0,0,0,3,0.24,0,0.76
947,0,0,0,1001.7,12949,0,0,0,3,0.28,0,0.68
948,0,0,0,1001.7,12557,0,0,0,3,0.28,0,0.72
949,0,0,0,1001.6,12164,0,0,0,3,0.28,0,0.76
995,0,0,0,1001.7,12949,0,0,0,3,0.32,0,0.68
996,0,0,0,1001.7,12557,0,0,0,3,0.32,0,0.72
997,0,0,0,1001.6,12164,0,0,0,3,0.32,0,0.76
1043,0,0,0,1001.7,12949,0,0,0,3,0.36,0,0.68
1044,0,0,0,1001.7,12557,0,0,0,3,0.36,0,0.72
1045,0,0,0,1001.6,12164,0,0,0,3,0.36,0,0.76
1091,0,0,0,1001.7,12949,0,0,0,3,0.4,0,0.68
1092,0,0,0,1001.7,12557,0,0,0,3,0.4,0,0.72
1093,0,0,0,1001.6,12164,0,0,0,3,0.4,0,0.76
1139,0,0,0,1001.7,12949,0,0,0,3,0.44,0,0.68
1140,0,0,0,1001.7,12557,0,0,0,3,0.44,0,0.72
1141,0,0,0,1001.6,12164,0,0,0,3,0.44,0,0.76
1187,0,0,0,1001.7,12949,0,0,0,3,0.48,0,0.68
1188,0,0,0,1001.7,12557,0,0,0,3,0.48,0,0.72
