"Idp","Vel:0","Vel:1","Vel:2","Rhop","Mass","Press","Vol","Ace:0","Ace:1","Ace:2","Vor:0","Vor:1","Vor:2","Type","Mk","Points:0","Points:1","Points:2"
6099,0,0,0,1002.4,0.4,18639,0.00039903,-0.0011737,0,-0.17246,0,0,0,3,1,1,0,0.1
6195,0,0,0,1002.5,0.4,19031,0.00039901,-1.1369e-13,0,-416.37,0,0,0,3,1,1.02,0,0.06
6196,0,0,0,1002.5,0.4,18835,0.00039902,0,0,-57.979,0,0,0,3,1,1.02,0,0.08
6197,0,0,0,1002.4,0.4,18639,0.00039903,1.1369e-13,0,-0.17245,0,0,0,3,1,1.02,0,0.1
6293,0,0,0,1002.5,0.4,19031,0.00039901,0.0021033,0,-416.37,0,0,0,3,1,1.04,0,0.06
6294,0,0,0,1002.5,0.4,18835,0.00039902,0.002372,0,-57.979,0,0,0,3,1,1.04,0,0.08
6295,0,0,0,1002.4,0.4,18639,0.00039903,0.0023474,0,-0.17246,0,0,0,3,1,1.04,0,0.1
6391,0,0,0,1002.5,0.4,19031,0.00039901,0.0043349,0,-416.37,0,0,0,3,1,1.06,0,0.06
6392,0,0,0,1002.5,0.4,18835,0.00039902,0.0048256,0,-57.979,0,0,0,3,1,1.06,0,0.08
6393,0,0,0,1002.4,0.4,18639,0.00039903,0.0048211,0,-0.17248,0,0,0,3,1,1.06,0,0.1
6489,0,0,0,1002.5,0.4,19031,0.00039901,-0.0043349,0,-416.37,0,0,0,3,1,1.08,0,0.06
6490,0,0,0,1002.5,0.4,18835,0.00039902,-0.0048256,0,-57.979,0,0,0,3,1,1.08,0,0.08
6491,0,0,0,1002.4,0.4,18639,0.00039903,-0.0048211,0,-0.17248,0,0,0,3,1,1.08,0,0.1
6587,0,0,0,1002.5,0.4,19031,0.00039901,-0.0021033,0,-416.37,0,0,0,3,1,1.1,0,0.06
6588,0,0,0,1002.5,0.4,18835,0.00039902,-0.002372,0,-57.979,0,0,0,3,1,1.1,0,0.08
6589,0,0,0,1002.4,0.4,18639,0.00039903,-0.0023474,0,-0.17246,0,0,0,3,1,1.1,0,0.1
6685,0,0,0,1002.5,0.4,19031,0.00039901,-1.1369e-13,0,-416.37,0,0,0,3,1,1.12,0,0.06
6686,0,0,0,1002.5,0.4,18835,0.00039902,0,0,-57.979,0,0,0,3,1,1.12,0,0.08
6687,0,0,0,1002.4,0.4,18639,0.00039903,1.1369e-13,0,-0.17245,0,0,0,3,1,1.12,0,0.1
6783,0,0,0,1002.5,0.4,19031,0.00039901,-1.1369e-13,0,-416.37,0,0,0,3,1,1.14,0,0.06
6784,0,0,0,1002.5,0.4,18835,0.00039902,0,0,-57.979,0,0,0,3,1,1.14,0,0.08
6785,0,0,0,1002.4,0.4,18639,0.00039903,0,0,-0.17245,0,0,0,3,1,1.14,0,0.1
6881,0,0,0,1002.5,0.4,19031,0.00039901,0.0021033,0,-416.37,0,0,0,3,1,1.16,0,0.06
6882,0,0,0,1002.5,0.4,18835,0.00039902,0.002372,0,-57.979,0,0,0,3,1,1.16,0,0.08
6883,0,0,0,1002.4,0.4,18639,0.00039903,0.0023474,0,-0.17246,0,0,0,3,1,1.16,0,0.1
6979,0,0,0,1002.5,0.4,19031,0.00039901,0.0043349,0,-416.37,0,0,0,3,1,1.18,0,0.06
6980,0,0,0,1002.5,0.4,18835,0.00039902,0.0048256,0,-57.979,0,0,0,3,1,1.18,0,0.08
6981,0,0,0,1002.4,0.4,18639,0.00039903,0.0048211,0,-0.17248,0,0,0,3,1,1.18,0,0.1
7077,0,0,0,1002.5,0.4,19031,0.00039901,-0.0043349,0,-416.37,0,0,0,3,1,1.2,0,0.06
7078,0,0,0,1002.5,0.4,18835,0.00039902,-0.0048256,0,-57.979,0,0,0,3,1,1.2,0,0.08
7079,0,0,0,1002.4,0.4,18639,0.00039903,-0.0048211,0,-0.17248,0,0,0,3,1,1.2,0,0.1
7175,0,0,0,1002.5,0.4,19031,0.00039901,-0.0021033,0,-416.37,0,0,0,3,1,1.22,0,0.06
